batch_id,plant,country,product,production_date,units_produced,units_rejected,production_time_hrs,delay_days,production_cost,quality_issue,reject_rate,cost_per_unit,quality_flag,critical_quality,critical_delay_prod,batch_risk_score
BCH000048,Plant_E,Brazil,Insulin Lispro,2023-09-20,63167,3911,10.2,0,69797.64,,0.0619152405528203,1.1049700001583105,0,1,0,2
BCH000049,Plant_F,France,Losartan 50mg,2023-08-02,45520,5412,14.2,0,338587.48,Temperature deviation,0.11889279437609841,7.43821353251318,1,1,0,3
BCH000050,Plant_D,India,Losartan 50mg,2023-12-17,198239,22748,14.2,2,271439.37,Process deviation,0.11475037707010224,1.3692531237546597,1,1,0,3
BCH000051,Plant_A,Mexico,Atorvastatin 20mg,2023-12-20,215613,27955,25.1,0,261738.34,Contamination,0.1296535923158622,1.2139265257660716,1,1,0,3
BCH000052,Plant_D,India,Insulin Lispro,2023-07-23,111332,12972,10.3,3,150480.28,Equipment failure,0.11651636546545467,1.3516354686882477,1,1,1,5
BCH000053,Plant_D,India,Aspirin 100mg,2023-09-07,196350,12817,8.2,5,239569.11,,0.06527629233511587,1.2201126050420168,0,1,1,4
BCH000054,Plant_F,France,Ibuprofen 400mg,2023-09-12,39840,8958,14.5,1,267902.84,Process deviation,0.22484939759036143,6.724468875502009,1,1,0,3
BCH000055,Plant_E,Brazil,Omeprazole 20mg,2023-09-01,151078,30545,18.9,3,168124.76,Equipment failure,0.2021803306901071,1.1128341651332425,1,1,1,5
BCH000056,Plant_B,USA,Atorvastatin 20mg,2023-10-30,107045,10176,11.1,0,120119.92,Contamination,0.09506282404596197,1.1221441449857537,1,1,0,3
BCH000057,Plant_E,Brazil,Paracetamol 500mg,2023-07-14,92676,8305,26.1,2,102517.7,Temperature deviation,0.08961327636065432,1.1061946998144072,1,1,0,3
BCH000058,Plant_D,India,Paracetamol 500mg,2023-11-23,153219,7922,25.9,0,185920.71,,0.05170377042011761,1.2134311671528988,0,1,0,2
BCH000059,Plant_B,USA,Aspirin 100mg,2023-09-23,141679,4921,27.9,1,174650.53,,0.0347334467352254,1.2327199514395217,0,0,0,0
BCH000060,Plant_C,Germany,Atorvastatin 20mg,2023-08-06,208070,49850,10.6,0,1265418.27,Process deviation,0.2395828327005335,6.081694958427453,1,1,0,3
BCH000061,Plant_E,Brazil,Amoxicillin 500mg,2023-07-01,62177,8929,27.1,0,73546.46,Equipment failure,0.14360615661739873,1.1828563616771477,1,1,0,3
BCH000062,Plant_F,France,Aspirin 100mg,2023-07-27,142941,29151,21.8,7,982010.5,Process deviation,0.20393728881146767,6.870040786058584,1,1,1,5
BCH000063,Plant_F,France,Amoxicillin 500mg,2023-07-17,75231,5775,14.2,5,446768.35,Equipment failure,0.07676356820991347,5.938620382555063,1,1,1,5
BCH000064,Plant_E,Brazil,Paracetamol 500mg,2023-10-15,177562,50034,20.8,0,214354.05,Process deviation,0.2817832644372107,1.2072067784773768,1,1,0,3
BCH000065,Plant_D,India,Losartan 50mg,2023-08-21,47890,480,26.1,0,67425.95,,0.010022969304656505,1.4079338066402172,0,0,0,0
BCH000066,Plant_C,Germany,Aspirin 100mg,2023-09-27,33719,1116,16.3,0,198989.83,,0.03309706693555562,5.901415522405765,0,0,0,0
BCH000067,Plant_D,India,Atorvastatin 20mg,2023-07-25,31615,3804,18.3,4,43685.55,Equipment failure,0.12032263166218567,1.3817981970583584,1,1,1,5
BCH000068,Plant_B,USA,Paracetamol 500mg,2023-11-22,90405,1756,29.9,3,130174.01,,0.019423704441126045,1.439898346330402,0,0,1,2
BCH000069,Plant_C,Germany,Losartan 50mg,2023-09-22,99639,34271,10.8,0,670427.1,Contamination,0.3439516655125001,6.728561105591184,1,1,0,3
BCH000070,Plant_C,Germany,Insulin Lispro,2023-11-25,235894,39148,10.5,1,1544732.35,Process deviation,0.16595589544456407,6.548417297599769,1,1,0,3
BCH000071,Plant_F,France,Atorvastatin 20mg,2023-11-03,68632,8145,20.3,4,475360.22,Equipment failure,0.11867641916307262,6.926218382095815,1,1,1,5
BCH000072,Plant_D,India,Paracetamol 500mg,2023-12-24,175384,9331,23.5,3,228579.97,,0.05320325685353282,1.3033114195137527,0,1,1,4
BCH000073,Plant_D,India,Amoxicillin 500mg,2023-09-28,133744,8065,17.6,1,163329.22,,0.060301770546716114,1.2212078298839575,0,1,0,2
BCH000074,Plant_B,USA,Omeprazole 20mg,2023-11-07,158966,8758,27.0,0,207283.91,,0.05509354201527371,1.3039512222739453,0,1,0,2
BCH000075,Plant_E,Brazil,Omeprazole 20mg,2023-09-02,249599,16410,15.2,8,313831.43,,0.06574545571096038,1.2573424973657747,0,1,1,4
BCH000076,Plant_D,India,Insulin Lispro,2023-12-01,139316,2909,11.1,0,158079.77,,0.020880588015734013,1.1346849608085217,0,0,0,0
BCH000077,Plant_C,Germany,Ibuprofen 400mg,2023-09-28,246291,15497,11.8,0,1761408.6,,0.06292150342481048,7.151737578717858,0,1,0,2
BCH000078,Plant_B,USA,Losartan 50mg,2023-10-23,243417,14966,12.5,0,303268.46,,0.061482969554303935,1.2458803616838594,0,1,0,2
BCH000079,Plant_E,Brazil,Omeprazole 20mg,2023-10-22,54579,7357,9.8,3,71282.58,Process deviation,0.1347954341413364,1.3060440828890232,1,1,1,5
BCH000080,Plant_B,USA,Insulin Lispro,2023-08-03,236717,17855,16.2,0,273494.72,Contamination,0.07542762032300172,1.1553657743212358,1,1,0,3
BCH000081,Plant_A,Mexico,Paracetamol 500mg,2023-12-28,25777,7122,13.6,2,28179.57,Process deviation,0.27629281917988907,1.093205958800481,1,1,0,3
BCH000082,Plant_A,Mexico,Omeprazole 20mg,2023-10-23,115895,12407,19.7,0,143833.63,Equipment failure,0.10705379869709651,1.2410684671469865,1,1,0,3
BCH000083,Plant_F,France,Amoxicillin 500mg,2023-10-19,77176,10176,15.2,0,483301.09,Equipment failure,0.13185446252721053,6.262323649839328,1,1,0,3
BCH000084,Plant_B,USA,Atorvastatin 20mg,2023-12-04,60549,10377,20.9,0,77100.58,Temperature deviation,0.1713818560174404,1.273358436968406,1,1,0,3
BCH000085,Plant_C,Germany,Metformin 850mg,2023-10-01,79527,6546,20.6,0,565400.28,Contamination,0.08231166773548607,7.109538647251877,1,1,0,3
BCH000086,Plant_B,USA,Omeprazole 20mg,2023-12-20,182041,3484,12.1,0,207134.5,,0.019138545712229664,1.1378453205596541,0,0,0,0
BCH000087,Plant_C,Germany,Losartan 50mg,2023-10-02,246018,28194,29.6,1,1636087.06,Temperature deviation,0.11460137063141722,6.650273801103984,1,1,0,3
BCH000088,Plant_A,Mexico,Ibuprofen 400mg,2023-12-03,187055,14898,11.8,3,219386.52,Equipment failure,0.07964502419074604,1.1728449921146187,1,1,1,5
BCH000089,Plant_A,Mexico,Losartan 50mg,2023-11-12,58723,6232,12.1,0,79688.14,Equipment failure,0.10612536825434668,1.3570175229467158,1,1,0,3
BCH000090,Plant_F,France,Ibuprofen 400mg,2023-11-10,42569,8090,14.3,0,299715.94,Equipment failure,0.19004439850595503,7.040708966618901,1,1,0,3
BCH000091,Plant_D,India,Atorvastatin 20mg,2023-11-26,202285,5524,11.0,0,242980.2,,0.027308006031094744,1.2011775465308847,0,0,0,0
BCH000092,Plant_F,France,Ibuprofen 400mg,2023-11-09,190556,66774,18.4,3,1336082.54,Equipment failure,0.350416675413002,7.0114955183778,1,1,1,5
BCH000093,Plant_A,Mexico,Insulin Glargine,2023-12-02,177956,5548,20.6,0,239671.75,,0.031176245813571896,1.3468034233181236,0,0,0,0
BCH000094,Plant_F,France,Aspirin 100mg,2023-09-01,79814,13664,25.9,0,492477.79,Process deviation,0.1711980354323803,6.170318365199088,1,1,0,3
BCH000095,Plant_D,India,Ibuprofen 400mg,2023-07-30,37430,3533,17.7,0,51427.91,Contamination,0.0943895271172856,1.3739756879508416,1,1,0,3
BCH000096,Plant_C,Germany,Atorvastatin 20mg,2023-12-01,230516,87390,27.8,1,1452899.65,Contamination,0.37910600565687413,6.302814772076558,1,1,0,3
BCH000097,Plant_D,India,Insulin Lispro,2023-10-17,52713,2625,21.8,0,74764.93,,0.04979796255193216,1.4183394987953635,0,0,0,0
BCH000098,Plant_C,Germany,Amoxicillin 500mg,2023-08-20,23731,4077,25.3,1,180191.63,Contamination,0.1718005983734356,7.593090472377902,1,1,0,3
BCH000099,Plant_A,Mexico,Omeprazole 20mg,2023-10-20,235747,17049,24.8,0,302972.68,Contamination,0.07231905390100404,1.2851602777553903,1,1,0,3
BCH000100,Plant_E,Brazil,Aspirin 100mg,2023-12-23,131824,4240,16.7,4,148420.1,,0.03216409758465833,1.125895891491686,0,0,1,2
BCH000101,Plant_A,Mexico,Insulin Lispro,2023-07-05,236963,13664,23.3,2,310614.22,,0.05766301068099239,1.3108131649244819,0,1,0,2
BCH000102,Plant_C,Germany,Losartan 50mg,2023-12-13,129557,20103,16.8,5,905294.31,Temperature deviation,0.1551672236930463,6.987614023171269,1,1,1,5
BCH000103,Plant_B,USA,Losartan 50mg,2023-12-14,200385,4970,28.5,0,279329.6,,0.02480225565785862,1.393964618110138,0,0,0,0
BCH000104,Plant_D,India,Omeprazole 20mg,2023-11-30,137771,36682,21.3,0,177375.18,Contamination,0.2662534205311713,1.2874638349144594,1,1,0,3
BCH000105,Plant_A,Mexico,Amoxicillin 500mg,2023-09-29,129148,11340,29.7,0,144744.65,Process deviation,0.0878062378046892,1.1207657106575402,1,1,0,3
BCH000106,Plant_C,Germany,Losartan 50mg,2023-11-18,225084,42092,15.4,0,1340777.04,Equipment failure,0.1870057400792593,5.956785200191929,1,1,0,3
BCH000107,Plant_D,India,Insulin Lispro,2023-07-08,206881,26732,24.2,0,249271.57,Temperature deviation,0.12921437928084262,1.2049031568872928,1,1,0,3
BCH000108,Plant_A,Mexico,Insulin Glargine,2023-10-10,116382,669,17.2,0,146572.93,,0.005748311594576481,1.259412366173463,0,0,0,0
BCH000109,Plant_B,USA,Ibuprofen 400mg,2023-12-02,217708,3293,11.9,0,287129.3,,0.015125764785859959,1.3188734451650834,0,0,0,0
BCH000110,Plant_A,Mexico,Atorvastatin 20mg,2023-10-31,187940,15298,9.5,1,243258.0,Process deviation,0.08139831861232308,1.2943386187080983,1,1,0,3
BCH000111,Plant_A,Mexico,Paracetamol 500mg,2023-11-14,24369,872,18.4,0,26639.16,,0.0357831671385777,1.093157700357011,0,0,0,0
BCH000112,Plant_E,Brazil,Omeprazole 20mg,2023-10-13,46514,2000,16.8,1,57615.71,,0.042997807111837295,1.2386745925957776,0,0,0,0
BCH000113,Plant_C,Germany,Ibuprofen 400mg,2023-07-24,105346,6720,14.0,6,692961.05,,0.06378979742942305,6.577953125889925,0,1,1,4
BCH000114,Plant_E,Brazil,Paracetamol 500mg,2023-09-13,231895,4817,8.6,2,305455.02,,0.02077233230556933,1.3172126177795986,0,0,0,0
BCH000115,Plant_E,Brazil,Amoxicillin 500mg,2023-10-17,66131,3444,11.9,0,90465.21,,0.0520784503485506,1.3679697872404772,0,1,0,2
BCH000116,Plant_E,Brazil,Aspirin 100mg,2023-09-14,137591,3124,26.3,2,190983.29,,0.022704973435762513,1.3880507445981205,0,0,0,0
BCH000117,Plant_B,USA,Metformin 850mg,2023-10-25,55969,13264,9.9,5,60708.49,Temperature deviation,0.23698833282710072,1.0846806267755364,1,1,1,5
BCH000118,Plant_B,USA,Metformin 850mg,2023-11-01,77261,9799,13.7,3,92949.17,Contamination,0.12682983652813193,1.2030541929304566,1,1,1,5
BCH000119,Plant_D,India,Ibuprofen 400mg,2023-07-24,205376,48763,17.6,0,262621.89,Equipment failure,0.23743280617014648,1.278736999454659,1,1,0,3
BCH000120,Plant_E,Brazil,Ibuprofen 400mg,2023-09-07,65988,6084,27.7,4,82846.3,Equipment failure,0.09219858156028368,1.2554752379220464,1,1,1,5
BCH000121,Plant_C,Germany,Amoxicillin 500mg,2023-12-04,119638,11421,13.7,1,847669.03,Equipment failure,0.0954629799896354,7.085282518932112,1,1,0,3
BCH000122,Plant_A,Mexico,Amoxicillin 500mg,2023-09-05,136686,12491,8.4,0,161020.3,Temperature deviation,0.09138463339332485,1.178030668832214,1,1,0,3
BCH000123,Plant_A,Mexico,Losartan 50mg,2023-11-16,86853,1248,8.2,3,100255.43,,0.014369106421194431,1.1543116530229236,0,0,1,2
BCH000124,Plant_F,France,Atorvastatin 20mg,2023-08-14,113907,18053,17.2,0,869463.9,Equipment failure,0.15848894273398476,7.633103321130396,1,1,0,3
BCH000125,Plant_D,India,Aspirin 100mg,2023-07-26,164107,27652,21.3,2,182127.18,Contamination,0.16849982023923415,1.1098075036409172,1,1,0,3
BCH000126,Plant_A,Mexico,Atorvastatin 20mg,2023-11-18,37254,2462,20.5,2,44219.15,,0.06608686315563429,1.1869638159660707,0,1,0,2
BCH000127,Plant_F,France,Insulin Lispro,2023-07-07,242792,29364,15.4,0,1702905.1,Contamination,0.12094302942436325,7.013843536854592,1,1,0,3
BCH000128,Plant_E,Brazil,Aspirin 100mg,2023-08-20,83751,1575,26.0,0,97880.19,,0.018805745603037577,1.1687047318837984,0,0,0,0
BCH000129,Plant_E,Brazil,Insulin Glargine,2023-09-26,137067,34679,28.2,0,152551.4,Equipment failure,0.25300765319150487,1.112969569626533,1,1,0,3
BCH000130,Plant_F,France,Paracetamol 500mg,2023-11-18,94843,28324,24.1,1,716277.51,Process deviation,0.2986409118226965,7.552244340647175,1,1,0,3
BCH000131,Plant_B,USA,Paracetamol 500mg,2023-08-02,88625,8082,12.9,0,111330.1,Process deviation,0.0911932299012694,1.2561929478138223,1,1,0,3
BCH000132,Plant_D,India,Losartan 50mg,2023-08-09,249132,34251,8.7,1,351170.43,Equipment failure,0.1374813351957998,1.4095757670632436,1,1,0,3
BCH000133,Plant_B,USA,Omeprazole 20mg,2023-10-04,182970,15072,27.0,6,228843.71,Process deviation,0.0823741596983112,1.2507171120948788,1,1,1,5
BCH000134,Plant_C,Germany,Amoxicillin 500mg,2023-12-06,204401,24001,10.7,1,1287423.22,Contamination,0.1174211476460487,6.298517228389294,1,1,0,3
BCH000135,Plant_B,USA,Losartan 50mg,2023-08-21,71270,4692,19.9,0,85061.07,,0.06583415181703381,1.1935045601234742,0,1,0,2
BCH000136,Plant_D,India,Ibuprofen 400mg,2023-10-27,72155,9916,8.5,1,83978.71,Process deviation,0.13742637377867092,1.1638654285912273,1,1,0,3
BCH000137,Plant_B,USA,Aspirin 100mg,2023-08-12,120506,2011,24.9,8,145361.12,,0.01668796574444426,1.2062562859940584,0,0,1,2
BCH000138,Plant_F,France,Insulin Lispro,2023-11-17,248080,24242,17.2,8,1822924.87,Temperature deviation,0.0977184779103515,7.3481331425346665,1,1,1,5
BCH000139,Plant_F,France,Insulin Lispro,2023-07-03,146410,26967,14.5,0,938505.09,Temperature deviation,0.1841882385082986,6.410116043986067,1,1,0,3
BCH000140,Plant_A,Mexico,Losartan 50mg,2023-09-19,239689,31157,28.9,2,277696.82,Equipment failure,0.1299892777724468,1.1585713987709074,1,1,0,3
BCH000141,Plant_C,Germany,Omeprazole 20mg,2023-11-30,65852,14220,21.5,6,445253.88,Process deviation,0.21593877179128956,6.761432910162182,1,1,1,5
BCH000142,Plant_C,Germany,Atorvastatin 20mg,2023-08-25,37252,3379,11.9,1,234680.38,Process deviation,0.09070653924621497,6.299806184902824,1,1,0,3
BCH000143,Plant_C,Germany,Losartan 50mg,2023-12-24,25945,5294,27.4,0,200807.82,Process deviation,0.20404702254769705,7.7397502408942,1,1,0,3
BCH000144,Plant_A,Mexico,Amoxicillin 500mg,2023-07-14,36510,1300,12.9,0,50153.78,,0.035606683100520405,1.3736998082717065,0,0,0,0
BCH000145,Plant_F,France,Losartan 50mg,2023-08-04,195109,11681,13.8,0,1475228.65,,0.05986909881143361,7.561048695857187,0,1,0,2
BCH000146,Plant_A,Mexico,Paracetamol 500mg,2023-08-04,50422,6667,17.0,1,56034.74,Temperature deviation,0.13222402919360596,1.1113152988774742,1,1,0,3
BCH000147,Plant_D,India,Insulin Lispro,2023-08-16,185741,15270,23.0,0,215323.22,Temperature deviation,0.082211251150796,1.1592659671262673,1,1,0,3
BCH000148,Plant_E,Brazil,Aspirin 100mg,2023-11-04,198633,7002,15.7,1,273494.83,,0.03525094017610367,1.3768851600690721,0,0,0,0
BCH000149,Plant_E,Brazil,Atorvastatin 20mg,2023-08-11,28477,6240,26.7,3,37505.42,Equipment failure,0.21912420549917477,1.3170425255469325,1,1,1,5
BCH000150,Plant_D,India,Losartan 50mg,2023-11-08,58161,5255,24.6,2,75766.34,Temperature deviation,0.09035264180464572,1.302700091126356,1,1,0,3
BCH000151,Plant_D,India,Insulin Glargine,2023-09-06,200082,23554,26.3,0,275006.33,Contamination,0.1177217340890235,1.3744681180715907,1,1,0,3
BCH000152,Plant_A,Mexico,Aspirin 100mg,2023-08-15,109478,4134,19.9,0,143223.72,,0.03776101134474506,1.3082420212280093,0,0,0,0
BCH000153,Plant_F,France,Paracetamol 500mg,2023-07-05,195108,33183,21.9,7,1271450.69,Contamination,0.1700750353650286,6.516650726776964,1,1,1,5
BCH000154,Plant_C,Germany,Amoxicillin 500mg,2023-10-11,147485,23002,20.8,2,882157.0,Process deviation,0.15596162321592028,5.981333694952029,1,1,0,3
BCH000155,Plant_E,Brazil,Paracetamol 500mg,2023-09-01,207312,20473,24.5,7,296206.56,Temperature deviation,0.0987545342286023,1.4287960175966659,1,1,1,5
BCH000156,Plant_C,Germany,Amoxicillin 500mg,2023-08-05,69559,8689,29.9,0,444034.88,Contamination,0.12491553932632729,6.3835719317413995,1,1,0,3
BCH000157,Plant_E,Brazil,Atorvastatin 20mg,2023-08-10,195150,18973,9.8,2,226271.95,Contamination,0.09722264924417115,1.1594770689213427,1,1,0,3
BCH000158,Plant_F,France,Atorvastatin 20mg,2023-11-10,164348,39080,28.8,0,1099989.85,Temperature deviation,0.2377881081607321,6.693052851266825,1,1,0,3
BCH000159,Plant_E,Brazil,Amoxicillin 500mg,2023-10-06,72693,12536,27.7,8,89220.5,Contamination,0.17245126765988472,1.2273602685265432,1,1,1,5
BCH000160,Plant_C,Germany,Insulin Lispro,2023-08-01,238917,121491,12.1,0,1848734.29,Contamination,0.5085071384623112,7.737977163617491,1,1,0,3
BCH000161,Plant_A,Mexico,Omeprazole 20mg,2023-07-18,152643,24119,10.9,3,199266.17,Contamination,0.15800921103489843,1.305439292990835,1,1,1,5
BCH000162,Plant_D,India,Amoxicillin 500mg,2023-11-09,40506,4833,10.8,0,45457.09,Equipment failure,0.11931565693971263,1.1222310275020984,1,1,0,3
BCH000163,Plant_A,Mexico,Paracetamol 500mg,2023-11-25,126291,20505,13.9,0,162853.47,Temperature deviation,0.16236311376107562,1.2895097037793668,1,1,0,3
BCH000164,Plant_A,Mexico,Losartan 50mg,2023-09-29,217510,14744,18.6,0,265644.46,,0.06778538917750908,1.2212976874626456,0,1,0,2
BCH000165,Plant_B,USA,Insulin Lispro,2023-12-19,184510,1666,18.6,3,201902.43,,0.009029320904016043,1.094262804184055,0,0,1,2
BCH000166,Plant_E,Brazil,Ibuprofen 400mg,2023-10-12,184511,5607,8.2,2,236445.96,,0.030388432125997906,1.281473516484112,0,0,0,0
BCH000167,Plant_B,USA,Amoxicillin 500mg,2023-07-29,209567,7243,16.7,0,232260.65,,0.03456173920512294,1.1082882801204388,0,0,0,0
BCH000168,Plant_F,France,Aspirin 100mg,2023-09-01,114623,12675,10.3,0,707979.39,Equipment failure,0.11057990106697609,6.176590998316219,1,1,0,3
BCH000169,Plant_F,France,Atorvastatin 20mg,2023-12-12,28439,4548,15.5,2,210828.82,Equipment failure,0.15992123492387214,7.413369668413095,1,1,0,3
BCH000170,Plant_F,France,Omeprazole 20mg,2023-11-11,94479,14562,24.1,1,649683.44,Temperature deviation,0.15412948909281426,6.876485144847003,1,1,0,3
