batch_id,region,planned_delivery,actual_delivery,transport_days,delivery_status,delivery_delay_days,critical_delay_ship,on_time_flag
BCH000368,East Asia,2023-10-08,2023-10-08,7,On-time,0,0,1
BCH000178,Eastern Europe,2023-07-27,2023-07-27,5,On-time,0,0,1
BCH000620,East Asia,2023-10-15,2023-10-19,8,Delayed,4,1,0
BCH000591,South America,2023-09-17,2023-09-17,3,On-time,0,0,1
BCH000251,South Asia,2023-12-05,2023-12-09,10,Delayed,4,1,0
BCH000349,Western Europe,2023-07-06,2023-07-06,4,On-time,0,0,1
BCH000725,South Asia,2023-12-15,2023-12-17,8,Delayed,2,1,0
BCH000393,Western Europe,2023-11-22,2023-11-27,4,Delayed,5,1,0
BCH000266,North America,2023-07-16,2023-07-17,2,On-time,1,0,1
BCH000360,Central America,2023-08-31,2023-09-03,3,Delayed,3,1,0
BCH000432,Central America,2023-12-31,2024-01-08,3,Delayed,8,1,0
BCH000441,North America,2023-12-30,2023-12-30,2,On-time,0,0,1
BCH000329,South America,2023-08-31,2023-08-31,3,On-time,0,0,1
BCH000236,South America,2023-10-17,2023-10-17,3,On-time,0,0,1
BCH000607,East Asia,2023-08-30,2023-09-02,10,Delayed,3,1,0
BCH000378,North America,2023-10-01,2023-10-03,2,Delayed,2,1,0
BCH000173,East Asia,2023-09-08,2023-09-10,7,Delayed,2,1,0
BCH000471,Western Europe,2023-11-18,2023-11-18,4,On-time,0,0,1
BCH000447,Eastern Europe,2023-11-07,2023-11-07,5,On-time,0,0,1
BCH000723,East Asia,2023-12-31,2024-01-01,7,On-time,1,0,1
BCH000766,Central America,2023-12-30,2023-12-30,3,On-time,0,0,1
BCH000695,Eastern Europe,2023-07-09,2023-07-16,6,Delayed,7,1,0
BCH000241,Eastern Europe,2023-09-22,2023-09-26,6,Delayed,4,1,0
BCH000078,South America,2023-10-26,2023-10-26,3,On-time,0,0,1
BCH000458,Western Europe,2023-11-14,2023-11-19,5,Delayed,5,1,0
BCH000041,Eastern Europe,2023-07-26,2023-07-30,9,Delayed,4,1,0
BCH000089,East Asia,2023-11-19,2023-11-19,7,On-time,0,0,1
BCH000447,North America,2023-11-04,2023-11-04,2,On-time,0,0,1
BCH000019,East Asia,2023-09-10,2023-09-10,7,On-time,0,0,1
BCH000054,South America,2023-09-15,2023-09-16,3,On-time,1,0,1
BCH000323,Western Europe,2023-09-04,2023-09-05,5,On-time,1,0,1
BCH000033,Western Europe,2023-08-04,2023-08-06,4,Delayed,2,1,0
BCH000227,South America,2023-09-30,2023-10-02,3,Delayed,2,1,0
BCH000251,East Asia,2023-12-06,2023-12-06,7,On-time,0,0,1
BCH000186,Central America,2023-12-05,2023-12-07,3,Delayed,2,1,0
BCH000258,South Asia,2023-09-01,2023-09-03,8,Delayed,2,1,0
BCH000269,South America,2023-11-20,2023-11-20,3,On-time,0,0,1
BCH000345,North America,2023-12-02,2023-12-09,3,Delayed,7,1,0
BCH000409,North America,2023-12-23,2023-12-29,2,Delayed,6,1,0
BCH000730,East Asia,2023-07-08,2023-07-09,8,On-time,1,0,1
BCH000389,South America,2023-11-02,2023-11-02,3,On-time,0,0,1
BCH000288,East Asia,2023-11-02,2023-11-07,7,Delayed,5,1,0
BCH000617,East Asia,2023-10-27,2023-10-27,7,On-time,0,0,1
BCH000401,Central America,2023-08-25,2023-08-26,3,On-time,1,0,1
BCH000330,East Asia,2023-08-19,2023-08-20,8,On-time,1,0,1
BCH000647,Central America,2023-08-10,2023-08-10,3,On-time,0,0,1
BCH000156,East Asia,2023-08-12,2023-08-13,8,On-time,1,0,1
BCH000412,East Asia,2023-08-21,2023-08-21,7,On-time,0,0,1
BCH000769,South Asia,2023-11-19,2023-11-19,6,On-time,0,0,1
BCH000282,East Asia,2023-11-21,2023-11-21,7,On-time,0,0,1
BCH000317,Eastern Europe,2023-07-27,2023-08-01,7,Delayed,5,1,0
BCH000578,East Asia,2023-12-23,2023-12-23,7,On-time,0,0,1
BCH000045,Eastern Europe,2023-08-05,2023-08-09,9,Delayed,4,1,0
BCH000465,East Asia,2023-12-07,2023-12-07,7,On-time,0,0,1
BCH000679,North America,2023-11-11,2023-11-11,2,On-time,0,0,1
BCH000068,South America,2023-11-25,2023-11-28,3,Delayed,3,1,0
BCH000529,Central America,2023-08-06,2023-08-12,5,Delayed,6,1,0
BCH000685,East Asia,2023-09-11,2023-09-19,11,Delayed,8,1,0
BCH000386,Western Europe,2023-12-08,2023-12-08,4,On-time,0,0,1
BCH000781,North America,2023-11-08,2023-11-10,4,Delayed,2,1,0
BCH000475,East Asia,2023-10-30,2023-11-04,9,Delayed,5,1,0
BCH000255,East Asia,2023-11-22,2023-11-26,10,Delayed,4,1,0
BCH000712,Eastern Europe,2023-12-01,2023-12-01,5,On-time,0,0,1
BCH000480,East Asia,2023-07-28,2023-07-31,10,Delayed,3,1,0
BCH000758,East Asia,2023-09-20,2023-09-20,7,On-time,0,0,1
BCH000271,Western Europe,2023-10-13,2023-10-21,4,Delayed,8,1,0
BCH000275,East Asia,2023-07-17,2023-07-21,7,Delayed,4,1,0
BCH000239,Western Europe,2023-11-29,2023-12-01,4,Delayed,2,1,0
BCH000244,Western Europe,2024-01-01,2024-01-02,4,On-time,1,0,1
BCH000486,South America,2023-08-16,2023-08-16,3,On-time,0,0,1
BCH000406,Western Europe,2023-09-06,2023-09-07,5,On-time,1,0,1
BCH000136,Western Europe,2023-10-31,2023-11-01,4,On-time,1,0,1
BCH000626,South America,2023-10-28,2023-11-02,5,Delayed,5,1,0
BCH000081,North America,2023-12-30,2024-01-01,2,Delayed,2,1,0
BCH000394,Western Europe,2023-12-02,2023-12-02,4,On-time,0,0,1
BCH000697,Eastern Europe,2023-10-09,2023-10-09,5,On-time,0,0,1
BCH000576,South America,2023-08-03,2023-08-04,3,On-time,1,0,1
BCH000402,Western Europe,2023-10-25,2023-10-26,4,On-time,1,0,1
BCH000774,South Asia,2023-12-01,2023-12-02,7,On-time,1,0,1
BCH000391,South Asia,2023-08-29,2023-09-01,9,Delayed,3,1,0
BCH000223,Western Europe,2023-12-15,2023-12-19,8,Delayed,4,1,0
BCH000354,South Asia,2023-09-20,2023-09-20,6,On-time,0,0,1
BCH000572,East Asia,2023-07-21,2023-07-22,7,On-time,1,0,1
BCH000235,South Asia,2023-12-24,2023-12-29,8,Delayed,5,1,0
BCH000221,South Asia,2023-09-11,2023-09-11,6,On-time,0,0,1
BCH000358,North America,2023-11-18,2023-11-28,6,Delayed,10,1,0
BCH000160,East Asia,2023-08-08,2023-08-08,7,On-time,0,0,1
BCH000774,South America,2023-11-28,2023-11-28,3,On-time,0,0,1
BCH000214,North America,2023-08-29,2023-08-29,2,On-time,0,0,1
BCH000507,Central America,2023-11-24,2023-11-24,3,On-time,0,0,1
BCH000336,South America,2023-12-22,2023-12-23,3,On-time,1,0,1
BCH000228,South America,2023-10-02,2023-10-05,3,Delayed,3,1,0
BCH000593,North America,2023-11-16,2023-11-16,2,On-time,0,0,1
BCH000103,South America,2023-12-17,2023-12-19,5,Delayed,2,1,0
BCH000233,North America,2023-11-13,2023-11-17,5,Delayed,4,1,0
BCH000608,East Asia,2023-07-11,2023-07-15,7,Delayed,4,1,0
BCH000225,East Asia,2023-11-27,2023-12-05,7,Delayed,8,1,0
BCH000446,South Asia,2023-12-22,2023-12-30,6,Delayed,8,1,0
BCH000431,East Asia,2023-11-20,2023-11-28,8,Delayed,8,1,0
BCH000022,South America,2023-10-16,2023-10-18,3,Delayed,2,1,0
BCH000124,Western Europe,2023-08-18,2023-08-18,4,On-time,0,0,1
BCH000187,Western Europe,2023-07-08,2023-07-10,4,Delayed,2,1,0
BCH000237,Western Europe,2023-11-04,2023-11-04,4,On-time,0,0,1
BCH000516,Central America,2023-11-19,2023-11-24,3,Delayed,5,1,0
BCH000389,East Asia,2023-11-06,2023-11-06,7,On-time,0,0,1
BCH000262,Eastern Europe,2023-09-03,2023-09-03,5,On-time,0,0,1
BCH000451,Western Europe,2023-10-10,2023-10-18,4,Delayed,8,1,0
BCH000390,East Asia,2023-08-18,2023-08-24,10,Delayed,6,1,0
BCH000049,North America,2023-08-04,2023-08-04,2,On-time,0,0,1
BCH000525,North America,2023-09-14,2023-09-17,3,Delayed,3,1,0
BCH000677,Central America,2023-07-30,2023-07-30,3,On-time,0,0,1
BCH000192,South America,2023-08-05,2023-08-05,3,On-time,0,0,1
BCH000544,East Asia,2023-07-26,2023-07-26,7,On-time,0,0,1
BCH000591,Eastern Europe,2023-09-19,2023-09-19,5,On-time,0,0,1
BCH000165,South America,2023-12-22,2023-12-25,3,Delayed,3,1,0
BCH000177,Eastern Europe,2023-11-23,2023-11-24,6,On-time,1,0,1
BCH000596,Central America,2023-08-03,2023-08-03,3,On-time,0,0,1
BCH000404,South Asia,2023-10-21,2023-10-27,6,Delayed,6,1,0
BCH000741,Eastern Europe,2023-08-08,2023-08-09,5,On-time,1,0,1
BCH000436,South America,2023-07-22,2023-07-22,3,On-time,0,0,1
BCH000739,North America,2023-11-04,2023-11-10,5,Delayed,6,1,0
BCH000188,Eastern Europe,2023-09-26,2023-09-27,5,On-time,1,0,1
BCH000429,Eastern Europe,2023-10-08,2023-10-08,5,On-time,0,0,1
BCH000310,Western Europe,2023-10-25,2023-10-25,4,On-time,0,0,1
BCH000053,Central America,2023-09-10,2023-09-15,3,Delayed,5,1,0
BCH000069,South America,2023-09-25,2023-09-25,3,On-time,0,0,1
BCH000025,North America,2023-12-10,2023-12-16,3,Delayed,6,1,0
BCH000605,East Asia,2024-01-02,2024-01-05,10,Delayed,3,1,0
BCH000196,Western Europe,2023-09-06,2023-09-10,6,Delayed,4,1,0
BCH000152,East Asia,2023-08-22,2023-08-22,7,On-time,0,0,1
BCH000362,East Asia,2023-07-14,2023-07-15,7,On-time,1,0,1
BCH000464,South Asia,2023-12-20,2023-12-25,10,Delayed,5,1,0
BCH000322,Western Europe,2023-09-14,2023-09-14,4,On-time,0,0,1
BCH000058,East Asia,2023-11-30,2023-11-30,7,On-time,0,0,1
BCH000063,North America,2023-07-19,2023-07-25,3,Delayed,6,1,0
BCH000405,Central America,2023-07-18,2023-07-23,3,Delayed,5,1,0
BCH000061,South Asia,2023-07-07,2023-07-07,6,On-time,0,0,1
BCH000312,South Asia,2023-08-04,2023-08-09,6,Delayed,5,1,0
BCH000324,Eastern Europe,2023-09-23,2023-09-24,6,On-time,1,0,1
BCH000543,South Asia,2023-12-22,2023-12-26,6,Delayed,4,1,0
BCH000416,Western Europe,2023-09-29,2023-10-02,6,Delayed,3,1,0
BCH000276,Western Europe,2023-08-20,2023-08-25,4,Delayed,5,1,0
BCH000527,East Asia,2023-07-31,2023-08-02,7,Delayed,2,1,0
BCH000254,Eastern Europe,2023-08-25,2023-08-25,5,On-time,0,0,1
BCH000003,South Asia,2023-08-30,2023-09-02,6,Delayed,3,1,0
BCH000357,North America,2023-07-12,2023-07-12,2,On-time,0,0,1
BCH000077,Central America,2023-10-01,2023-10-02,4,On-time,1,0,1
BCH000072,Eastern Europe,2023-12-29,2024-01-04,8,Delayed,6,1,0
BCH000629,South America,2023-07-14,2023-07-14,3,On-time,0,0,1
BCH000518,Western Europe,2023-11-23,2023-11-23,4,On-time,0,0,1
BCH000319,Central America,2023-08-16,2023-08-16,3,On-time,0,0,1
BCH000709,Central America,2023-08-22,2023-08-22,3,On-time,0,0,1
BCH000214,East Asia,2023-09-03,2023-09-07,11,Delayed,4,1,0
BCH000201,North America,2023-11-18,2023-11-21,5,Delayed,3,1,0
BCH000371,South America,2023-12-16,2023-12-16,3,On-time,0,0,1
BCH000423,Eastern Europe,2023-11-19,2023-11-19,5,On-time,0,0,1
BCH000632,Eastern Europe,2023-08-19,2023-08-19,5,On-time,0,0,1
BCH000339,North America,2023-12-14,2023-12-18,6,Delayed,4,1,0
BCH000716,Eastern Europe,2023-08-01,2023-08-11,9,Delayed,10,1,0
BCH000748,Eastern Europe,2023-09-30,2023-10-01,6,On-time,1,0,1
BCH000088,East Asia,2023-12-10,2023-12-13,7,Delayed,3,1,0
BCH000429,Central America,2023-10-06,2023-10-09,6,Delayed,3,1,0
BCH000189,North America,2023-08-30,2023-08-30,2,On-time,0,0,1
BCH000307,Eastern Europe,2023-08-16,2023-08-16,5,On-time,0,0,1
BCH000752,Western Europe,2023-07-29,2023-07-29,4,On-time,0,0,1
BCH000297,North America,2023-08-19,2023-08-19,2,On-time,0,0,1
BCH000006,Eastern Europe,2023-10-27,2023-10-28,5,On-time,1,0,1
BCH000289,East Asia,2023-08-10,2023-08-11,8,On-time,1,0,1
BCH000146,Western Europe,2023-08-08,2023-08-09,4,On-time,1,0,1
BCH000490,South Asia,2023-12-25,2023-12-30,7,Delayed,5,1,0
BCH000061,South America,2023-07-04,2023-07-04,3,On-time,0,0,1
BCH000597,South America,2023-12-26,2023-12-27,4,On-time,1,0,1
BCH000396,Western Europe,2023-07-16,2023-07-17,4,On-time,1,0,1
BCH000504,Western Europe,2023-07-30,2023-07-30,4,On-time,0,0,1
BCH000179,Central America,2023-12-29,2024-01-06,4,Delayed,8,1,0
BCH000630,East Asia,2023-07-15,2023-07-16,8,On-time,1,0,1
BCH000157,Central America,2023-08-13,2023-08-18,6,Delayed,5,1,0
BCH000792,Western Europe,2023-07-30,2023-07-31,5,On-time,1,0,1
BCH000320,South Asia,2023-07-08,2023-07-10,7,Delayed,2,1,0
BCH000387,Central America,2023-07-07,2023-07-07,3,On-time,0,0,1
BCH000170,Central America,2023-11-14,2023-11-15,3,On-time,1,0,1
BCH000701,Western Europe,2023-11-18,2023-11-19,5,On-time,1,0,1
BCH000554,Western Europe,2023-11-27,2023-12-02,4,Delayed,5,1,0
BCH000648,Central America,2023-09-10,2023-09-10,3,On-time,0,0,1
BCH000133,East Asia,2023-10-11,2023-10-17,7,Delayed,6,1,0
BCH000763,Eastern Europe,2023-07-13,2023-07-20,5,Delayed,7,1,0
BCH000347,North America,2023-09-05,2023-09-05,2,On-time,0,0,1
BCH000323,North America,2023-09-02,2023-09-03,3,On-time,1,0,1
BCH000395,Western Europe,2023-07-27,2023-07-27,4,On-time,0,0,1
BCH000407,South Asia,2023-08-19,2023-08-23,10,Delayed,4,1,0
BCH000299,Eastern Europe,2023-08-22,2023-08-23,5,On-time,1,0,1
BCH000327,Western Europe,2023-09-15,2023-09-15,4,On-time,0,0,1
BCH000004,Central America,2023-11-26,2023-11-26,3,On-time,0,0,1
BCH000118,South America,2023-11-04,2023-11-07,3,Delayed,3,1,0
BCH000433,Western Europe,2023-09-18,2023-09-18,4,On-time,0,0,1
BCH000166,Eastern Europe,2023-10-17,2023-10-19,5,Delayed,2,1,0
BCH000252,South America,2023-10-10,2023-10-14,5,Delayed,4,1,0
BCH000399,South America,2023-10-13,2023-10-13,3,On-time,0,0,1
BCH000467,South Asia,2023-12-13,2023-12-17,6,Delayed,4,1,0
BCH000633,South Asia,2023-10-21,2023-10-28,10,Delayed,7,1,0
BCH000538,Western Europe,2023-08-19,2023-08-24,4,Delayed,5,1,0
BCH000392,South America,2023-08-19,2023-08-24,4,Delayed,5,1,0
BCH000467,North America,2023-12-09,2023-12-13,2,Delayed,4,1,0
BCH000762,Eastern Europe,2023-08-29,2023-09-04,6,Delayed,6,1,0
BCH000752,Western Europe,2023-07-29,2023-07-29,4,On-time,0,0,1
BCH000367,South America,2023-07-27,2023-08-03,3,Delayed,7,1,0
BCH000425,Central America,2023-12-21,2023-12-22,3,On-time,1,0,1
BCH000757,South America,2023-09-05,2023-09-13,3,Delayed,8,1,0
BCH000578,East Asia,2023-12-23,2023-12-23,7,On-time,0,0,1
